"","month","Min"
"1","01-01",63.18
"2","01-02",62.62
"3","01-03",61.9
"4","01-04",61.21
"5","01-05",60.38
"6","01-06",59.51
"7","01-07",58.82
"8","01-08",58.15
"9","01-09",57.37
"10","01-10",56.62
"11","01-11",55.9
"12","01-12",55.21
"13","01-13",54.5
"14","01-14",53.92
"15","01-15",53.33
"16","01-16",52.52
"17","01-17",51.61
"18","01-18",50.69
"19","01-19",49.78
"20","01-20",48.92
"21","01-21",48.24
"22","01-22",47.55
"23","01-23",46.67
"24","01-24",45.82
"25","01-25",44.96
"26","01-26",44.11
"27","01-27",43.33
"28","01-28",42.79
"29","01-29",42.26
"30","01-30",41.66
"31","01-31",41.03
"32","02-01",40.56
"33","02-02",40.13
"34","02-03",39.76
"35","02-04",39.48
"36","02-05",39.18
"37","02-06",38.66
"38","02-07",38.1
"39","02-08",37.47
"40","02-09",36.74
"41","02-10",36
"42","02-11",35.45
"43","02-12",35.06
"44","02-13",34.56
"45","02-14",34
"46","02-15",33.56
"47","02-16",33.13
"48","02-17",32.73
"49","02-18",32.48
"50","02-19",32.22
"51","02-20",31.79
"52","02-21",31.52
"53","02-22",31.26
"54","02-23",30.96
"55","02-24",30.57
"56","02-25",30.29
"57","02-26",30.1
"58","02-27",29.82
"59","02-28",28.97
"60","02-29",43.94
"61","03-01",28
"62","03-02",27.09
"63","03-03",26.33
"64","03-04",25.8
"65","03-05",25.24
"66","03-06",24.72
"67","03-07",23.83
"68","03-08",23.76
"69","03-09",23.42
"70","03-10",23.29
"71","03-11",23.22
"72","03-12",23.01
"73","03-13",22.79
"74","03-14",22.58
"75","03-15",22.33
"76","03-16",22.1
"77","03-17",21.76
"78","03-18",21.31
"79","03-19",20.73
"80","03-20",20.2
"81","03-21",19.71
"82","03-22",19.26
"83","03-23",18.9
"84","03-24",18.74
"85","03-25",18.66
"86","03-26",18.44
"87","03-27",18.18
"88","03-28",17.97
"89","03-29",17.79
"90","03-30",17.72
"91","03-31",18.35
"92","04-01",18.5
"93","04-02",18.53
"94","04-03",18.57
"95","04-04",18.74
"96","04-05",18.75
"97","04-06",18.85
"98","04-07",19.09
"99","04-08",19.38
"100","04-09",18.69
"101","04-10",18.8
"102","04-11",18.89
"103","04-12",18.96
"104","04-13",19.08
"105","04-14",19.34
"106","04-15",19.72
"107","04-16",19.93
"108","04-17",20.21
"109","04-18",20.57
"110","04-19",20.95
"111","04-20",21.34
"112","04-21",21.82
"113","04-22",22.36
"114","04-23",22.75
"115","04-24",23.05
"116","04-25",23.39
"117","04-26",23.72
"118","04-27",24.04
"119","04-28",24.44
"120","04-29",24.85
"121","04-30",25.13
"122","05-01",25.57
"123","05-02",25.78
"124","05-03",26.08
"125","05-04",26.26
"126","05-05",26.66
"127","05-06",27.04
"128","05-07",27.47
"129","05-08",27.89
"130","05-09",28.29
"131","05-10",28.72
"132","05-11",29.17
"133","05-12",29.65
"134","05-13",30.03
"135","05-14",30.51
"136","05-15",30.89
"137","05-16",31.27
"138","05-17",31.64
"139","05-18",31.99
"140","05-19",32.43
"141","05-20",32.9
"142","05-21",33.38
"143","05-22",33.69
"144","05-23",34.08
"145","05-24",34.5
"146","05-25",34.92
"147","05-26",35.43
"148","05-27",35.96
"149","05-28",36.39
"150","05-29",36.66
"151","05-30",37.01
"152","05-31",37.35
"153","06-01",37.66
"154","06-02",38.08
"155","06-03",38.32
"156","06-04",38.62
"157","06-05",38.93
"158","06-06",39.29
"159","06-07",39.7
"160","06-08",40.16
"161","06-09",40.6
"162","06-10",40.97
"163","06-11",41.34
"164","06-12",41.71
"165","06-13",42.09
"166","06-14",42.48
"167","06-15",42.9
"168","06-16",43.3
"169","06-17",43.65
"170","06-18",43.99
"171","06-19",44.38
"172","06-20",44.73
"173","06-21",45.08
"174","06-22",45.01
"175","06-23",45.41
"176","06-24",45.69
"177","06-25",45.94
"178","06-26",46.31
"179","06-27",46.7
"180","06-28",47
"181","06-29",47.28
"182","06-30",47.55
"183","07-01",47.84
"184","07-02",48.1
"185","07-03",48.52
"186","07-04",48.96
"187","07-05",49.33
"188","07-06",49.6
"189","07-07",49.82
"190","07-08",50.04
"191","07-09",50.33
"192","07-10",50.74
"193","07-11",51.16
"194","07-12",51.45
"195","07-13",51.61
"196","07-14",51.78
"197","07-15",51.98
"198","07-16",52.27
"199","07-17",52.56
"200","07-18",52.87
"201","07-19",53.09
"202","07-20",53.27
"203","07-21",53.45
"204","07-22",53.62
"205","07-23",53.96
"206","07-24",54.37
"207","07-25",54.79
"208","07-26",55.11
"209","07-27",55.44
"210","07-28",55.79
"211","07-29",56.23
"212","07-30",56.57
"213","07-31",56.96
"214","08-01",57.4
"215","08-02",57.76
"216","08-03",58.06
"217","08-04",58.36
"218","08-05",58.66
"219","08-06",59.03
"220","08-07",59.42
"221","08-08",59.81
"222","08-09",60.12
"223","08-10",60.45
"224","08-11",60.73
"225","08-12",61.03
"226","08-13",61.37
"227","08-14",61.71
"228","08-15",62.16
"229","08-16",62.5
"230","08-17",62.79
"231","08-18",63.1
"232","08-19",63.41
"233","08-20",63.75
"234","08-21",64.12
"235","08-22",64.49
"236","08-23",64.82
"237","08-24",65.16
"238","08-25",65.47
"239","08-26",65.79
"240","08-27",66.14
"241","08-28",66.52
"242","08-29",66.91
"243","08-30",67.22
"244","08-31",67.41
"245","09-01",67.84
"246","09-02",68.05
"247","09-03",68.28
"248","09-04",68.57
"249","09-05",68.91
"250","09-06",69.13
"251","09-07",69.31
"252","09-08",69.52
"253","09-09",69.73
"254","09-10",69.94
"255","09-11",70.23
"256","09-12",70.52
"257","09-13",70.69
"258","09-14",70.83
"259","09-15",70.94
"260","09-16",71.06
"261","09-17",71.27
"262","09-18",71.56
"263","09-19",71.86
"264","09-20",72.05
"265","09-21",72.21
"266","09-22",72.36
"267","09-23",72.57
"268","09-24",72.82
"269","09-25",73.42
"270","09-26",73.81
"271","09-27",74.07
"272","09-28",74.28
"273","09-29",74.52
"274","09-30",74.71
"275","10-01",74.93
"276","10-02",75.16
"277","10-03",75.47
"278","10-04",75.64
"279","10-05",75.85
"280","10-06",75.96
"281","10-07",76.01
"282","10-08",76.12
"283","10-09",76.33
"284","10-10",76.95
"285","10-11",76.95
"286","10-12",77
"287","10-13",76.93
"288","10-14",76.92
"289","10-15",76.92
"290","10-16",77
"291","10-17",77.09
"292","10-18",77.09
"293","10-19",77.14
"294","10-20",77.26
"295","10-21",77.28
"296","10-22",77.21
"297","10-23",77.19
"298","10-24",77.21
"299","10-25",77.09
"300","10-26",77
"301","10-27",77.03
"302","10-28",76.99
"303","10-29",76.97
"304","10-30",76.96
"305","10-31",77.07
"306","11-01",77.07
"307","11-02",76.82
"308","11-03",76.5
"309","11-04",76.24
"310","11-05",76
"311","11-06",75.91
"312","11-07",75.85
"313","11-08",75.57
"314","11-09",75.28
"315","11-10",74.99
"316","11-11",74.69
"317","11-12",74.37
"318","11-13",74.19
"319","11-14",74.08
"320","11-15",73.76
"321","11-16",73.39
"322","11-17",73.06
"323","11-18",72.77
"324","11-19",72.57
"325","11-20",72.42
"326","11-21",72.23
"327","11-22",71.82
"328","11-23",71.35
"329","11-24",70.8
"330","11-25",70.27
"331","11-26",69.76
"332","11-27",69.34
"333","11-28",68.91
"334","11-29",68.33
"335","11-30",67.77
"336","12-01",67.21
"337","12-02",66.62
"338","12-03",66.05
"339","12-04",65.59
"340","12-05",65.14
"341","12-06",64.51
"342","12-07",63.9
"343","12-08",63.3
"344","12-09",62.65
"345","12-10",62.05
"346","12-11",61.56
"347","12-12",61.17
"348","12-13",60.63
"349","12-14",60.14
"350","12-15",59.66
"351","12-16",59.18
"352","12-17",58.7
"353","12-18",58.3
"354","12-19",57.87
"355","12-20",57.18
"356","12-21",56.42
"357","12-22",55.64
"358","12-23",55.03
"359","12-24",54.68
"360","12-25",54.42
"361","12-26",54.08
"362","12-27",53.78
"363","12-28",53.54
"364","12-29",53.44
"365","12-30",53.41
"366","12-31",53.54
